Title,Authors,Journal,Year,PMID
HERV Dysregulation in a Case of Myalgic Encephalomyelitis and Multiple Sclerosis Responsive to Rituximab,"Martín-Martínez, E; Gil-Perotin, S; Giménez-Orenga, K; Barea-Moya, L; Oltra, E",International Journal of Molecular Sciences,2025,
Genome-wide discovery of multiple sclerosis genetic risk variant allelic regulatory activity,"Granitto, M; Parks, L … Weirauch, MT; Kottyan, LC","G3: Genes, Genomes, Genetics",2025,40838804
Genetics of progressive multifocal leukoencephalopathy: update on case reports with an inborn error of immunity and risk variants found in drug-linked cases,"Eis, PS; Smith, EB; Jalilzadeh, S; Hatchwell, E",Frontiers in Neurology,2025,40761639
Genetic susceptibility determines Epstein-Barr-virus-associated risk of multiple sclerosis,"Kiani, L",Nature Reviews Neurology,2025,40355532
Genes and environment profoundly affect the human virome,"Kamitaki, N; Tang, D; McCarroll, SA; Loh, P",bioRxiv : the preprint server for biology,2025,40964300
Factors associated with outcomes following autologous haematopoietic stem cell transplantation for multiple sclerosis,"Noui, Y; Zjukovskaja, C; Silfverberg, T; Ljungman, P; Kultima, K; Tolf, A; Tolf, T; Carlson, K; Burman, J","Journal of Neurology, Neurosurgery & Psychiatry",2025,
Extracellular nucleotides mediate viral central nervous system infections: Key alarmins of neuroinflammation and neurodegeneration,"Leite-Aguiar, R; Paiva-Pereira, E; Coutinho-Silva, R; Figueiredo, CP; Savio, LEB",Neural Regeneration Research,2025,40364625
Exploring the role of EBV in multiple sclerosis pathogenesis through EBV interactome,"Ballerini, C; Amoriello, R … Salvetti, M; Amato, MP",Frontiers in Immunology,2025,40242760
Exploring the Link Between IL-6 rs1800795 G > C SNP and the Severity of Epstein-Barr Virus-Associated Multiple Sclerosis: Potential Impact on Cognitive Impairment,"Hassan, TM; El Amir, AM; Nagy, NE; El-Khazragy, N",Molecular Neurobiology,2025,
Exosomal pHERV-W ENV as a dynamic biomarker for relapse prediction and prognosis in multiple sclerosis,"Saba, ES; Mrad, MF; Nakib, L; Dermesrobian, V; Abboud, J; Khoury, SJ",Journal of Neuroinflammation,2025,41121274
"Evolution of Epstein-Barr Virus Infection Seroprevalence in a French University Hospital over 11 Years, Including the COVID-19 Pandemic, 2013-2023","Aubry, A; Francois, C; Demey, B; Louchet-Ducoroy, M; Pannier, C; Segard, C; Brochot, E; Castelain, S",Microorganisms,2025,
Evaluating the role of anti-EBV antibodies as biomarkers for the evolution of multiple sclerosis: A longitudinal study,"Semy, M; Tranquille, A; Bergsland, N; Jakimovski, D; Bartnik, A; Reeves, JA; Dwyer, MG; B, BW; Ramanathan, M; Zivadinov, R",Multiple Sclerosis and Related Disorders,2025,40848621
Epstein‐Barr Virus (EBV) and Autoimmune Diseases: Pathogenic Mechanisms and Therapeutic Insights,"Gupta, S; Reddy, V; Lodha, L; Ashwini, MA",Journal of Medical Virology,2025,41459712
Epstein-Barr virus reactivation is associated with altered immune cell profiles in peripheral blood and cerebrospinal fluid of treatment-naive multiple sclerosis patients,"Gouzouasis, V; Tsifintaris, M … Giannakakis, A; Probert, L",Journal of Neuroimmunology,2025,41005209
Epstein-Barr virus pathogenesis and emerging control strategies,"Münz, C",Nature Reviews Microbiology,2025,
Epstein-Barr virus infection promotes T cell dysregulation in a humanized mouse model of multiple sclerosis,"Allanach, JR; Fettig, NM; Hardman, BK; Rosen, AR; Fan, V; Chung, C; Goldberg, EJ; Morse, ZJ; Shanina, I; Vorobeychik, G; Osborne, LC; Horwitz, MS",Science Advances,2025,
Epstein-Barr virus infection increases the risk for inflammatory bowel disease,"Buchner, AM; Kohen, R; Sonnenberg, A",European Journal of Gastroenterology & Hepatology,2025,41549853
Epstein-Barr virus infection and vitamin D deficiency are both “causal” for multiple sclerosis (MS) - could the common denominator be their effects on hepcidin levels?,"van Rensburg, SJ; van Toorn, R; Jaftha, M; Kemp, MC; Engel-Hills, P; Kotze, MJ",Metabolic Brain Disease,2025,41045370
Epstein-Barr virus and the immune microenvironment in multiple sclerosis: Insights from high-dimensional brain tissue imaging,"Orr, N; Steinman, L",Proceedings of the National Academy of Sciences,2025,40063794
"Epstein-Barr virus and spontaneous lymphoblastoid cell lines: establishment, molecular characteristics, immune modulation, and therapeutic insight","Adeniran, AA; Giovannoni, G; Baker, D; James, LK",Clinical and Experimental Immunology,2025,
Epstein-Barr virus and multiple sclerosis: lesson learned to develop better nonhuman primate models,"Nguyen, HD; Kim, D; Kim, Y; Flemington, E; Giovannoni, G; Park, C; Kim, W",Experimental & Molecular Medicine,2025,40588526
"Epstein-Barr virus and human MiRNAs crosstalk: orchestrating latency, lytic cycle, and immune system modulation","Mansour, RM; El-Sayyad, GS … Amin, R; Doghish, AS",Folia Microbiologica,2025,41369835
Epstein-Barr virus BALF0/1 subverts the Caveolin and ERAD pathways to target B cell receptor complexes for degradation,"Yiu, SPT; Liao, Y; Yan, J; Weekes, MP; Gewurz, BE",Proceedings of the National Academy of Sciences,2025,39847318
Epstein-Barr virus (EBV) infection and its sequelae in the immunocompetent host,"Meirhaeghe, MR; Balfour, HH",Journal of Clinical Virology,2025,40816194
"Epstein-Barr Virus, Lower Vitamin D, Low Sun Exposure, and HLA‐DRB1*1501 Risk Variant Share Common Epigenetic Pathways Leading to Multiple Sclerosis Onset","Simpson‐Yap, S; Morwitch, E … Ponsonby, A; -",Annals of Neurology,2025,
Epstein-Barr Virus miRNAs in Multiple Sclerosis: Unveiling their role in Immune Regulation and Potential for Diagnostic and Therapeutic Innovation,"Balkan, E; Kizilkaya, M; Bilge, N; Aykaç, M; Demirdoğan, F",Pakistan Journal of Medical Sciences,2025,41244541
Epstein-Barr Virus in Multiple Sclerosis,"Wahbeh, F; Sabatino, JJ",Neurology Neuroimmunology & Neuroinflammation,2025,
"Epstein-Barr Virus Seropositivity, Immune Dysregulation, and Mortality in Pediatric Sepsis","Sriram, A; Kernan, KF … Remy, KE; Park, HJ",JAMA Network Open,2025,40828536
Epstein-Barr Virus Encoded lncRNAs Control the Viral Lytic Switch,"Li, Z; Liao, Y; Ding, W; Maestri, D; Grote, SL; Romero Agosto, GA; Murray-Nerger, LA; Guo, R; Zhao, B; Rouskin, S; Teng, M; Gewurz, BE",bioRxiv : the preprint server for biology,2025,41279497
Emerging and Re-emerging viruses as triggers of human endogenous retrovirus activation: Implications for aging and age-related pathologies,"Wu, Y; Huang, S; Sha, Q; Yu, J",Molecular Aspects of Medicine,2025,41207217
Embodiment of structural racism and multiple sclerosis risk and outcomes in the USA,"Langer-Gould, AM; Cepon-Robins, TJ; Benn Torres, J; Yeh, EA; Gildner, TE",Nature Reviews Neurology,2025,40425864
Early multiple sclerosis activity associated with TBX21+CD21loCXCR3+ B cell expansion resembling EBV-induced phenotypes,"SoRelle, ED; Haukenfrers, E; Horn, GQ; Jain, V; Giarraputo, J; Abramson, K; Hocke, E; Cooney, LA; Harris, KM; Zamvil, SS; Gregory, SG; Luftig, MA",JCI Insight,2025,
Early identification of individuals at risk for multiple sclerosis by quantification of EBNA-1381-452-specific antibody titers,"Vietzen, H; Kühner, LM … Rommer, P; Puchhammer-Stöckl, E",Nature Communications,2025,40659624
Early antiviral treatment following gammaherpesvirus-68 infection of the central nervous system prevents subsequent multiple sclerosis-like disease,"Muselman, A; Kongara, S; Hsu, N; Aggarwal, A; Yu, J; Rajadas, J; Engleman, EG",Journal of Neuroinflammation,2025,41063265
Early Detection of Multiple Sclerosis Using Spectroscopic Epstein-Barr Virus Biosensors Based on Infection Mechanism Mimicry,"Anık; Çaylayık, NS",Analytical Chemistry,2025,40947562
EBV induces CNS homing of B cells attracting inflammatory T cells,"Läderach, F; Piteros, I … Mautner, J; Münz, C",Nature,2025,40770101
EBV and Autoimmunity,"Cortese, M; Ascherio, A; Bjornevik, K",Current Topics in Microbiology and Immunology,2025,
EBV Latency Programs: Molecular and Epigenetic Regulation and Its Role in Disease Pathogenesis,"Lyu, L; Li, Q; Wang, C",Journal of Medical Virology,2025,40685972
EBV INFECTION OUTCOMES DETERMINED BY MONOCYTE AND T REG -DRIVEN IMMUNE DYNAMICS IN AN EX VIVO PBMC MODEL,"Yoon, L; MacMullen, LN; Castro Muñoz, LJ; Gu, A; Bregman, J; Campion, M; Srivastava, A; Xian, RR; Ambinder, RF; Kossenkov, A; Soldan, SS; Lieberman, PM",bioRxiv : the preprint server for biology,2025,41332545
"EBV Early Lytic Antigens, EBNA2 and PDL-1, in Progressive Multiple Sclerosis Brain: A Coordinated Contribution to Viral Immune Evasion","Benincasa, L; Rosicarelli, B; Meloni, C; Serafini, B",International Journal of Molecular Sciences,2025,
EBNA2 and EBNA-LP: The Earliest Viral Latency Proteins,"Cable, JM; Grabowski, JC; Luftig, MA",Current Topics in Microbiology and Immunology,2025,
EBI2-oxysterol signalling regulates VE-cadherin expression and multiple sclerosis CD4+ T cell attachment to a human tri-cell spheroid blood-brain barrier model,"Caratis, F; Mruk, I; Konieczna-Wolska, K; Rojek, B; Hałas, M; Czaplewska, P; Karaszewski, B; Furihata, T; Rutkowska, A","Brain, Behavior, & Immunity - Health",2025,40656636
Double-stranded RNA antiviral signature in early multiple sclerosis.,"Gouzouasis, V; Sarrigeorgiou, I; Tsifintaris, M; Markoglou, N; Georgopoulou, U; Lymberi, P; Anagnostouli, M; Probert, L; Giannakakis, A",Frontiers in microbiology,2025,41395469
Development of Epstein Barr virus biosensor by mimicking its infection mechanism for early detection of multiple sclerosis,"Anik; Çaylayik, NS",Scientific Reports,2025,40750629
"Design, Structure, and Immunogenicity of a Soluble Prefusion-stabilized EBV gB Antigen","McCool, RS; Acreman, CM … Weidenbacher, PA; McLellan, JS",bioRxiv : the preprint server for biology,2025,40661529
Decoding the molecular and cellular aspects of multiple sclerosis: From diagnosis to therapeutic strategies,"Gupta, NS; Shrivastav, SK; Singh, IK; Kumari, S; Jha, NK; Gupta, R",Brain Research,2025,40691929
Cytomegalovirus Infection in a Multiple Sclerosis Patient on Dimethyl Fumarate,"Larsen, N",Case Reports in Neurological Medicine,2025,
Contribution of Blood Biomarkers to Multiple Sclerosis Diagnosis,"Comabella, M; Pappolla, A … Villar, LM; Montalban, X",Neurology Neuroimmunology & Neuroinflammation,2025,39879564
Complete Epstein-Barr virus seropositivity in a cohort of pediatric onset multiple sclerosis: a comparison to other autoimmune diseases,"Monte, G; Tiralongo, G; Papetti, L; Ferilli, MAN; Proietti Checchi, M; Voci, A; Ruscitto, C; Salvetti, M; Bellucci, G; Valeriani, M",Journal of Neurology,2025,41152539
Comparative Analysis of Genetic Risk for Viral-Induced Axonal Loss in Genetically Diverse Mice,"Kang, TW; Perez-Gomez, A; Lawley, K; Young, CR; Welsh, CJ; Brinkmeyer-Langford, CL",International Journal of Molecular Sciences,2025,41226761
Clinical Features of Children With MOG-IgG Who Fulfill Criteria of Multiple Sclerosis and Overlapping Disorders,"Fonseca, EG; Olivé-Cirera, G … Dalmau, J; Armangue, T",Neurology Neuroimmunology & Neuroinflammation,2025,40505071
